,tic,date,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
186,sh.600893,2019-10-30,2019-09-30,0.015064,2.088999,0.223230,0.911564,0.035436,0.848479,0.646240,0.064627
187,sh.600893,2020-04-18,2019-12-31,0.039094,2.115764,0.432356,0.971620,0.043985,0.823776,0.773891,0.068994
188,sh.600893,2020-04-28,2020-03-31,0.003001,2.189968,0.054859,0.897535,0.027833,0.784795,0.759436,0.046699
189,sh.600893,2020-08-26,2020-06-30,0.014215,2.235629,0.143104,0.962844,0.046147,0.838646,0.878576,0.062631
190,sh.600893,2020-10-30,2020-09-30,0.019702,2.038579,0.235965,0.960645,0.042636,0.848841,0.861453,0.058307
191,sh.600893,2021-03-31,2020-12-31,0.035375,1.967388,0.449254,0.982771,0.040725,0.827159,0.862735,0.057069
192,sh.600900,2019-04-30,2019-03-31,0.020285,2.057042,0.029109,0.999632,0.338899,0.859140,0.716323,0.550678
193,sh.600900,2019-08-31,2019-06-30,0.061572,2.132559,0.068583,0.999670,0.421124,0.838388,0.796087,0.630964
194,sh.600900,2019-10-31,2019-09-30,0.124105,2.053270,0.129083,0.999409,0.468521,0.823933,0.844421,0.673408
195,sh.600900,2020-04-30,2019-12-31,0.147703,2.029319,0.168499,0.998889,0.432438,0.809984,0.838477,0.636732
196,sh.600900,2020-04-30,2020-03-31,0.015210,1.969265,0.028272,0.998479,0.273604,0.815360,0.699338,0.479829
197,sh.600900,2020-08-31,2020-06-30,0.054258,2.160022,0.063295,0.993706,0.399375,0.836357,0.792155,0.602809
198,sh.600900,2020-10-31,2020-09-30,0.128577,2.036363,0.133633,0.995068,0.474832,0.817111,0.867084,0.670190
199,sh.600900,2021-04-30,2020-12-31,0.163530,1.950419,0.184226,0.992139,0.458718,0.816695,0.864967,0.649361
200,sh.601012,2019-04-30,2019-03-31,0.036493,2.472275,0.137887,0.911847,0.117401,0.902709,0.833925,0.155954
201,sh.601012,2019-08-29,2019-06-30,0.104591,2.375242,0.309206,0.942625,0.151077,0.883776,0.937532,0.182335
202,sh.601012,2019-10-31,2019-09-30,0.164957,2.219466,0.484072,0.945274,0.162426,0.872190,0.956922,0.194611
203,sh.601012,2020-04-23,2019-12-31,0.239542,2.245063,0.664842,0.950044,0.168924,0.889583,0.965152,0.196747
204,sh.601012,2020-04-23,2020-03-31,0.065239,2.143006,0.140451,0.948592,0.228495,0.869380,0.940863,0.279345
205,sh.601012,2020-08-28,2020-06-30,0.140385,2.170503,0.316474,0.969658,0.210768,0.875963,0.997114,0.241309
206,sh.601012,2020-10-31,2020-09-30,0.209284,2.318966,0.480317,0.973751,0.192960,0.875946,0.992535,0.221944
207,sh.601012,2021-04-21,2020-12-31,0.272653,2.342231,0.742938,0.983065,0.159384,0.877702,0.992042,0.183049
208,sh.601066,2019-04-26,2019-03-31,0.030724,4.380637,,0.993374,0.481983,0.751141,,
209,sh.601066,2019-08-24,2019-06-30,0.048360,4.601326,,0.994700,0.396563,0.764133,,
210,sh.601066,2019-10-30,2019-09-30,0.074247,4.292789,,0.992737,0.396795,0.761356,,
211,sh.601066,2020-03-27,2019-12-31,0.105640,4.615551,,0.994944,0.403825,0.772973,,
212,sh.601066,2020-04-25,2020-03-31,0.033868,4.971264,,0.996263,0.446884,0.785149,,
213,sh.601066,2020-08-26,2020-06-30,0.079166,5.162984,,0.997888,0.463467,0.781793,,
214,sh.601066,2020-10-24,2020-09-30,0.126631,5.404910,,0.997390,0.473585,0.785674,,
215,sh.601066,2021-04-01,2020-12-31,0.152987,5.284050,,0.997142,0.408408,0.786484,,
216,sh.601088,2019-04-26,2019-03-31,0.037659,1.704718,0.100057,0.848810,0.260108,0.813797,0.974595,0.327954
217,sh.601088,2019-08-24,2019-06-30,0.073173,1.736105,0.202306,0.839730,0.248099,0.783255,0.975467,0.324720
218,sh.601088,2019-10-29,2019-09-30,0.109943,1.701706,0.309815,0.844964,0.246799,0.797286,0.973304,0.318039
219,sh.601088,2020-03-28,2019-12-31,0.127264,1.685653,0.422215,0.839154,0.213089,0.772436,0.967393,0.285164
220,sh.601088,2020-04-25,2020-03-31,0.027474,1.594943,0.089717,0.834638,0.230045,0.798396,0.933524,0.308652
221,sh.601088,2020-08-29,2020-06-30,0.059077,1.622016,0.185152,0.832547,0.236278,0.792874,0.976382,0.305211
222,sh.601088,2020-10-26,2020-09-30,0.094528,1.577565,0.296555,0.836436,0.241567,0.802532,0.979834,0.307201
223,sh.601088,2021-03-27,2020-12-31,0.110010,1.568466,0.417686,0.828732,0.202625,0.754285,0.981994,0.273558
224,sh.601138,2019-04-30,2019-03-31,0.039022,2.512320,0.433054,1.000194,0.035860,0.842227,1.034375,0.041163
225,sh.601138,2019-08-14,2019-06-30,0.074132,2.559546,0.901523,1.000079,0.032124,0.928312,1.075658,0.032171
226,sh.601138,2019-10-31,2019-09-30,0.133212,2.646968,1.383048,1.000032,0.036387,0.898428,1.053963,0.038427
227,sh.601138,2020-03-31,2019-12-31,0.230310,2.514099,2.012217,1.000007,0.045525,0.880450,1.037882,0.049820
228,sh.601138,2020-04-30,2020-03-31,0.020715,2.217147,0.400455,0.999176,0.023350,0.880640,0.799849,0.033150
229,sh.601138,2020-08-12,2020-06-30,0.055890,2.255031,0.868552,1.000234,0.028529,0.885943,1.100957,0.029249
230,sh.601138,2020-10-31,2020-09-30,0.095536,2.303673,1.330845,1.000419,0.031148,0.880703,0.862352,0.041013
231,sh.601138,2021-03-30,2020-12-31,0.180599,2.233434,2.003057,1.000235,0.040360,0.882548,1.056902,0.043269
232,sh.601166,2019-04-30,2019-03-31,0.041465,14.142348,,0.993531,0.415506,0.874790,,
233,sh.601166,2019-08-28,2019-06-30,0.073510,14.035823,,0.993630,0.401626,0.903945,,
234,sh.601166,2019-10-30,2019-09-30,0.110198,13.740916,,0.991746,0.405304,0.895573,,
235,sh.601166,2020-04-29,2019-12-31,0.130780,13.756735,,0.987497,0.367893,0.895293,,
236,sh.601166,2020-04-29,2020-03-31,0.037999,13.180382,,0.992152,0.420848,0.875927,,
237,sh.601166,2020-08-29,2020-06-30,0.059533,13.416469,,0.988474,0.329644,0.905645,,
238,sh.601166,2020-10-30,2020-09-30,0.093496,13.305932,,0.987080,0.346244,0.905557,,
239,sh.601166,2021-03-31,2020-12-31,0.115176,12.999467,,0.984412,0.333179,0.883137,,
240,sh.601211,2019-04-27,2019-03-31,0.023966,3.722222,,0.923901,0.485929,0.777686,,
241,sh.601211,2019-08-23,2019-06-30,0.039800,3.873309,,0.940600,0.378656,0.777234,,
242,sh.601211,2019-10-31,2019-09-30,0.050614,3.764526,,0.944560,0.336539,0.777838,,
243,sh.601211,2020-03-25,2019-12-31,0.066196,3.816967,,0.954226,0.302223,0.790883,,
